ID,Question,Difficulty,A,B,C,D,Correct Answer
1,What is the main advantage of Agile over Waterfall?,1,Early feedback at the end,Flexibility and continuous feedback,Detailed documentation only,Fixed scope and schedule,B
2,Who is responsible for prioritizing the Product Backlog?,1,Scrum Master,Product Owner,Development Team,Stakeholders,B
3,What is the basic template of a user story?,1,When I do... then...,If... then...,As a <user>  I want <goal>  so that <reason>,Given... when... then...,C
4,What is the main responsibility of the Model in MVC?,1,Display UI elements,Handle user clicks,Store and manage data and logic,Route network traffic,C
5,What is testing mainly intended to do?,1,Prove software is perfect,Find errors in the program,Replace documentation,Improve UI design,B
6,What is the difference between Product Backlog and Sprint Backlog?,2,Traceability,Verifiability,Consistency,Priority,B
7,Which test type is written by developers to test small units of code?,2,Acceptance Test,System Test,Unit Test,ntegration Test,C
8,Why should JUnit tests not depend on each other?,2,To save memory,So tests can run in any order,To improve UI display,To reduce number of tests,B
9,Why are code reviews important?,2,They replace testing completely,They help catch design and logic errors early,They slow development,They reduce need for documentation,B
10,Which pattern is mainly used in MVC to update Views when Model changes?,2,Factory,Observer,Template,Singleton,B
11,What is the main goal of Creational design patterns?,2,Improve UI layout,Control object creation,Improve performance,Improve database access,B
12,How is project duration estimated in Agile?,3,By manager experience only,By dividing total effort by team velocity,By number of developers,By number of meetings,B
13,What is the main difference between Sprint Review and Retrospective?,3,Review focuses on team feelings,Retrospective shows product demo,Review inspects product  Retrospective inspects process,They are the same,C
14,Why is combining testing and code reviews powerful?,3,Because both are automated,Because one replaces the other,Because they detect different types of defects,Because it reduces documentation,C
15,How does MVC reduce risk in Agile projects?,3,By eliminating testing,By separating concerns so changes are safer,By enforcing Waterfall structure,By increasing team size,B
16,Why is a method that creates objects not always a Factory Method?,3,Because it may expose concrete classes,Because it must be static,Because it must be in a library,Because it must return void,A
17,What is a key disadvantage of the Observer pattern?,3,It cannot scale,Debugging becomes complex,Requires inheritance,Works only in GUI,B
18,Which combination best describes a strong system design?,4,MVC only,MVC + Observer + Factory + Testing,Testing without design patterns,Waterfall with heavy documentation,B
19,In which situation is Agile clearly better than Waterfall?,4,When requirements never change,When technology is fixed,When requirements are uncertain and evolving,When deadlines are very long,C
20,How does TDD affect class design?,4,It delays development,It forces developers to think about behavior first,It removes need for testing,It increases code size,B
21,Why does organizational culture affect code reviews?,4,Because tools depend on it,Because people need trust to share mistakes,Because it affects syntax rules,Because it changes programming languages,B
22,How can SRS and Agile work together?,4,They cannot,SRS defines scope  Agile refines it iteratively,SRS replaces backlog,Agile ignores SRS,B
23,Why are design patterns considered a common language?,4,They generate code automatically,They allow developers to communicate complex solutions quickly,They replace documentation,They remove need for meetings,B
